question,source,sql
Give the average number of working horses on farms with more than var0 total horses .,spider,SELECT AVG( FARMalias0.WORKING_HORSES ) FROM FARM AS FARMalias0 WHERE FARMalias0.TOTAL_HORSES > var0 ;
What are the maximum and minimum number of cows across all farms .,spider,"SELECT MAX( FARMalias0.COWS ) , MIN( FARMalias0.COWS ) FROM FARM AS FARMalias0 ;"
Return the maximum and minimum number of cows across all farms .,spider,"SELECT MAX( FARMalias0.COWS ) , MIN( FARMalias0.COWS ) FROM FARM AS FARMalias0 ;"
How many different statuses do cities have ?,spider,SELECT COUNT( DISTINCT CITYalias0.STATUS ) FROM CITY AS CITYalias0 ;
Count the number of different statuses .,spider,SELECT COUNT( DISTINCT CITYalias0.STATUS ) FROM CITY AS CITYalias0 ;
List official names of cities in descending order of population .,spider,SELECT CITYalias0.OFFICIAL_NAME FROM CITY AS CITYalias0 ORDER BY CITYalias0.POPULATION DESC ;
"What are the official names of cities , ordered descending by population ?",spider,SELECT CITYalias0.OFFICIAL_NAME FROM CITY AS CITYalias0 ORDER BY CITYalias0.POPULATION DESC ;
List the official name and status of the city with the largest population .,spider,"SELECT CITYalias0.OFFICIAL_NAME , CITYalias0.STATUS FROM CITY AS CITYalias0 ORDER BY CITYalias0.POPULATION DESC LIMIT 1 ;"
What is the official name and status of the city with the most residents ?,spider,"SELECT CITYalias0.OFFICIAL_NAME , CITYalias0.STATUS FROM CITY AS CITYalias0 ORDER BY CITYalias0.POPULATION DESC LIMIT 1 ;"
Show the years and the official names of the host cities of competitions .,spider,"SELECT CITYalias0.OFFICIAL_NAME , FARM_COMPETITIONalias0.YEAR FROM CITY AS CITYalias0 JOIN FARM_COMPETITION AS FARM_COMPETITIONalias0 ON FARM_COMPETITIONalias0.HOST_CITY_ID = CITYalias0.CITY_ID ;"
Give the years and official names of the cities of each competition .,spider,"SELECT CITYalias0.OFFICIAL_NAME , FARM_COMPETITIONalias0.YEAR FROM CITY AS CITYalias0 JOIN FARM_COMPETITION AS FARM_COMPETITIONalias0 ON FARM_COMPETITIONalias0.HOST_CITY_ID = CITYalias0.CITY_ID ;"
Show the official names of the cities that have hosted more than one competition .,spider,SELECT CITYalias0.OFFICIAL_NAME FROM CITY AS CITYalias0 JOIN FARM_COMPETITION AS FARM_COMPETITIONalias0 ON FARM_COMPETITIONalias0.HOST_CITY_ID = CITYalias0.CITY_ID GROUP BY FARM_COMPETITIONalias0.HOST_CITY_ID HAVING COUNT( * ) > var0 ;
What are the official names of cities that have hosted more than one competition ?,spider,SELECT CITYalias0.OFFICIAL_NAME FROM CITY AS CITYalias0 JOIN FARM_COMPETITION AS FARM_COMPETITIONalias0 ON FARM_COMPETITIONalias0.HOST_CITY_ID = CITYalias0.CITY_ID GROUP BY FARM_COMPETITIONalias0.HOST_CITY_ID HAVING COUNT( * ) > var0 ;
Show the status of the city that has hosted the greatest number of competitions .,spider,SELECT CITYalias0.STATUS FROM CITY AS CITYalias0 JOIN FARM_COMPETITION AS FARM_COMPETITIONalias0 ON FARM_COMPETITIONalias0.HOST_CITY_ID = CITYalias0.CITY_ID GROUP BY FARM_COMPETITIONalias0.HOST_CITY_ID ORDER BY COUNT( * ) DESC LIMIT 1 ;
What is the status of the city that has hosted the most competitions ?,spider,SELECT CITYalias0.STATUS FROM CITY AS CITYalias0 JOIN FARM_COMPETITION AS FARM_COMPETITIONalias0 ON FARM_COMPETITIONalias0.HOST_CITY_ID = CITYalias0.CITY_ID GROUP BY FARM_COMPETITIONalias0.HOST_CITY_ID ORDER BY COUNT( * ) DESC LIMIT 1 ;
Please show the themes of competitions with host cities having populations larger than var0 .,spider,SELECT FARM_COMPETITIONalias0.THEME FROM CITY AS CITYalias0 JOIN FARM_COMPETITION AS FARM_COMPETITIONalias0 ON FARM_COMPETITIONalias0.HOST_CITY_ID = CITYalias0.CITY_ID WHERE CITYalias0.POPULATION > var0 ;
What are the themes of competitions that have corresponding host cities with more than var0 residents ?,spider,SELECT FARM_COMPETITIONalias0.THEME FROM CITY AS CITYalias0 JOIN FARM_COMPETITION AS FARM_COMPETITIONalias0 ON FARM_COMPETITIONalias0.HOST_CITY_ID = CITYalias0.CITY_ID WHERE CITYalias0.POPULATION > var0 ;
Please show the different statuses of cities and the average population of cities with each status .,spider,"SELECT AVG( CITYalias0.POPULATION ) , CITYalias0.STATUS FROM CITY AS CITYalias0 GROUP BY CITYalias0.STATUS ;"
What are the statuses and average populations of each city ?,spider,"SELECT AVG( CITYalias0.POPULATION ) , CITYalias0.STATUS FROM CITY AS CITYalias0 GROUP BY CITYalias0.STATUS ;"
"Please show the different statuses , ordered by the number of cities that have each .",spider,SELECT CITYalias0.STATUS FROM CITY AS CITYalias0 GROUP BY STATUS ORDER BY COUNT( * ) ASC ;
"Return the different statuses of cities , ascending by frequency .",spider,SELECT CITYalias0.STATUS FROM CITY AS CITYalias0 GROUP BY STATUS ORDER BY COUNT( * ) ASC ;
List the most common type of Status across cities .,spider,SELECT CITYalias0.STATUS FROM CITY AS CITYalias0 GROUP BY STATUS ORDER BY COUNT( * ) DESC LIMIT 1 ;
What is the most common status across all cities ?,spider,SELECT CITYalias0.STATUS FROM CITY AS CITYalias0 GROUP BY STATUS ORDER BY COUNT( * ) DESC LIMIT 1 ;
List the official names of cities that have not held any competition .,spider,SELECT CITYalias0.OFFICIAL_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.CITY_ID NOT IN ( SELECT FARM_COMPETITIONalias0.HOST_CITY_ID FROM FARM_COMPETITION AS FARM_COMPETITIONalias0 ) ;
What are the official names of cities that have not hosted a farm competition ?,spider,SELECT CITYalias0.OFFICIAL_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.CITY_ID NOT IN ( SELECT FARM_COMPETITIONalias0.HOST_CITY_ID FROM FARM_COMPETITION AS FARM_COMPETITIONalias0 ) ;
Show the status shared by cities with population bigger than var0 and smaller than var1 .,spider,SELECT CITYalias0.STATUS FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > var0 INTERSECT SELECT CITYalias1.STATUS FROM CITY AS CITYalias1 WHERE CITYalias1.POPULATION < var1 ;
Which statuses correspond to both cities that have a population over var0 and cities that have a population lower than var1 ?,spider,SELECT CITYalias0.STATUS FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION > var0 INTERSECT SELECT CITYalias1.STATUS FROM CITY AS CITYalias1 WHERE CITYalias1.POPULATION < var1 ;
Find the official names of cities with population bigger than var0 or smaller than var1 .,spider,SELECT CITYalias0.OFFICIAL_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION < var1 OR CITYalias0.POPULATION > var0 ;
What are the official names of cities that have population over var0 or less than var1 ?,spider,SELECT CITYalias0.OFFICIAL_NAME FROM CITY AS CITYalias0 WHERE CITYalias0.POPULATION < var1 OR CITYalias0.POPULATION > var0 ;
"Show the census ranking of cities whose status are not "" var0 "" .",spider,"SELECT CITYalias0.CENSUS_RANKING FROM CITY AS CITYalias0 WHERE CITYalias0.STATUS != ""var0"" ;"
"What are the census rankings of cities that do not have the status "" var0 "" ?",spider,"SELECT CITYalias0.CENSUS_RANKING FROM CITY AS CITYalias0 WHERE CITYalias0.STATUS != ""var0"" ;"
which course has most number of registered students ?,spider,SELECT COURSESalias0.COURSE_NAME FROM COURSES AS COURSESalias0 JOIN STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.COURSE_ID = COURSESalias0.COURSE_ID GROUP BY COURSESalias0.COURSE_ID ORDER BY COUNT( * ) DESC LIMIT 1 ;
What is the name of the course with the most registered students ?,spider,SELECT COURSESalias0.COURSE_NAME FROM COURSES AS COURSESalias0 JOIN STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.COURSE_ID = COURSESalias0.COURSE_ID GROUP BY COURSESalias0.COURSE_ID ORDER BY COUNT( * ) DESC LIMIT 1 ;
what is id of students who registered some courses but the least number of courses in these students ?,spider,SELECT STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID FROM STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 GROUP BY STUDENT_ID ORDER BY COUNT( * ) LIMIT 1 ;
What are the ids of the students who registered for some courses but had the least number of courses for all students ?,spider,SELECT STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID FROM STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 GROUP BY STUDENT_ID ORDER BY COUNT( * ) LIMIT 1 ;
what are the first name and last name of all candidates ?,spider,"SELECT PEOPLEalias0.FIRST_NAME , PEOPLEalias0.LAST_NAME FROM CANDIDATES AS CANDIDATESalias0 JOIN PEOPLE AS PEOPLEalias0 ON PEOPLEalias0.PERSON_ID = CANDIDATESalias0.CANDIDATE_ID ;"
What are the first and last names of all the candidates ?,spider,"SELECT PEOPLEalias0.FIRST_NAME , PEOPLEalias0.LAST_NAME FROM CANDIDATES AS CANDIDATESalias0 JOIN PEOPLE AS PEOPLEalias0 ON PEOPLEalias0.PERSON_ID = CANDIDATESalias0.CANDIDATE_ID ;"
List the id of students who never attends courses ?,spider,SELECT STUDENTSalias0.STUDENT_ID FROM STUDENTS AS STUDENTSalias0 WHERE STUDENTSalias0.STUDENT_ID NOT IN ( SELECT STUDENT_COURSE_ATTENDANCEalias0.STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 ) ;
What are the ids of every student who has never attended a course ?,spider,SELECT STUDENTSalias0.STUDENT_ID FROM STUDENTS AS STUDENTSalias0 WHERE STUDENTSalias0.STUDENT_ID NOT IN ( SELECT STUDENT_COURSE_ATTENDANCEalias0.STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 ) ;
List the id of students who attended some courses ?,spider,SELECT STUDENT_COURSE_ATTENDANCEalias0.STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 ;
What are the ids of all students who have attended at least one course ?,spider,SELECT STUDENT_COURSE_ATTENDANCEalias0.STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 ;
What are the ids of all students for courses and what are the names of those courses ?,spider,"SELECT COURSESalias0.COURSE_NAME , STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID FROM STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 JOIN COURSES AS COURSESalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.COURSE_ID = COURSESalias0.COURSE_ID ;"
What is detail of the student who most recently registered course ?,spider,SELECT STUDENTSalias0.STUDENT_DETAILS FROM STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 JOIN STUDENTS AS STUDENTSalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID = STUDENTSalias0.STUDENT_ID ORDER BY STUDENT_COURSE_REGISTRATIONSalias0.REGISTRATION_DATE DESC LIMIT 1 ;
What details do we have on the students who registered for courses most recently ?,spider,SELECT STUDENTSalias0.STUDENT_DETAILS FROM STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 JOIN STUDENTS AS STUDENTSalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID = STUDENTSalias0.STUDENT_ID ORDER BY STUDENT_COURSE_REGISTRATIONSalias0.REGISTRATION_DATE DESC LIMIT 1 ;
How many students attend course var0 ?,spider,"SELECT COUNT( * ) FROM COURSES AS COURSESalias0 JOIN STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 ON STUDENT_COURSE_ATTENDANCEalias0.COURSE_ID = COURSESalias0.COURSE_ID WHERE COURSESalias0.COURSE_NAME = ""var0"" ;"
How many students are attending var0 courses ?,spider,"SELECT COUNT( * ) FROM COURSES AS COURSESalias0 JOIN STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 ON STUDENT_COURSE_ATTENDANCEalias0.COURSE_ID = COURSESalias0.COURSE_ID WHERE COURSESalias0.COURSE_NAME = ""var0"" ;"
How many courses do the student whose id is var0 attend ?,spider,SELECT COUNT( * ) FROM COURSES AS COURSESalias0 JOIN STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 ON STUDENT_COURSE_ATTENDANCEalias0.COURSE_ID = COURSESalias0.COURSE_ID WHERE STUDENT_COURSE_ATTENDANCEalias0.STUDENT_ID = var0 ;
How many courses does the student with id var0 actually attend ?,spider,SELECT COUNT( * ) FROM COURSES AS COURSESalias0 JOIN STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 ON STUDENT_COURSE_ATTENDANCEalias0.COURSE_ID = COURSESalias0.COURSE_ID WHERE STUDENT_COURSE_ATTENDANCEalias0.STUDENT_ID = var0 ;
Find id of the candidate whose email is var0 ?,spider,"SELECT CANDIDATESalias0.CANDIDATE_ID FROM PEOPLE AS PEOPLEalias0 JOIN CANDIDATES AS CANDIDATESalias0 ON PEOPLEalias0.PERSON_ID = CANDIDATESalias0.CANDIDATE_ID WHERE PEOPLEalias0.EMAIL_ADDRESS = ""var0"" ;"
What is the id of the candidate whose email is var0 ?,spider,"SELECT CANDIDATESalias0.CANDIDATE_ID FROM PEOPLE AS PEOPLEalias0 JOIN CANDIDATES AS CANDIDATESalias0 ON PEOPLEalias0.PERSON_ID = CANDIDATESalias0.CANDIDATE_ID WHERE PEOPLEalias0.EMAIL_ADDRESS = ""var0"" ;"
Find id of the candidate who most recently accessed the course ?,spider,SELECT CANDIDATE_ASSESSMENTSalias0.CANDIDATE_ID FROM CANDIDATE_ASSESSMENTS AS CANDIDATE_ASSESSMENTSalias0 ORDER BY CANDIDATE_ASSESSMENTSalias0.ASSESSMENT_DATE DESC LIMIT 1 ;
What is the id of the candidate who most recently accessed the course ?,spider,SELECT CANDIDATE_ASSESSMENTSalias0.CANDIDATE_ID FROM CANDIDATE_ASSESSMENTS AS CANDIDATE_ASSESSMENTSalias0 ORDER BY CANDIDATE_ASSESSMENTSalias0.ASSESSMENT_DATE DESC LIMIT 1 ;
What is detail of the student who registered the most number of courses ?,spider,SELECT STUDENTSalias0.STUDENT_DETAILS FROM STUDENTS AS STUDENTSalias0 JOIN STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID = STUDENTSalias0.STUDENT_ID GROUP BY STUDENTSalias0.STUDENT_ID ORDER BY COUNT( * ) DESC LIMIT 1 ;
What are the details of the student who registered for the most number of courses ?,spider,SELECT STUDENTSalias0.STUDENT_DETAILS FROM STUDENTS AS STUDENTSalias0 JOIN STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID = STUDENTSalias0.STUDENT_ID GROUP BY STUDENTSalias0.STUDENT_ID ORDER BY COUNT( * ) DESC LIMIT 1 ;
List the id of students who registered some courses and the number of their registered courses ?,spider,"SELECT COUNT( * ) , STUDENTSalias0.STUDENT_ID FROM STUDENTS AS STUDENTSalias0 JOIN STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID = STUDENTSalias0.STUDENT_ID GROUP BY STUDENTSalias0.STUDENT_ID ;"
"For every student who is registered for some course , how many courses are they registered for ?",spider,"SELECT COUNT( * ) , STUDENTSalias0.STUDENT_ID FROM STUDENTS AS STUDENTSalias0 JOIN STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID = STUDENTSalias0.STUDENT_ID GROUP BY STUDENTSalias0.STUDENT_ID ;"
How many registed students do each course have ? List course name and the number of their registered students ?,spider,"SELECT COUNT( * ) , COURSESalias0.COURSE_NAME FROM STUDENTS AS STUDENTSalias0 JOIN STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID = STUDENTSalias0.STUDENT_ID JOIN COURSES AS COURSESalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.COURSE_ID = COURSESalias0.COURSE_ID GROUP BY STUDENT_COURSE_REGISTRATIONSalias0.COURSE_ID ;"
"For each course id , how many students are registered and what are the course names ?",spider,"SELECT COUNT( * ) , COURSESalias0.COURSE_NAME FROM STUDENTS AS STUDENTSalias0 JOIN STUDENT_COURSE_REGISTRATIONS AS STUDENT_COURSE_REGISTRATIONSalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.STUDENT_ID = STUDENTSalias0.STUDENT_ID JOIN COURSES AS COURSESalias0 ON STUDENT_COURSE_REGISTRATIONSalias0.COURSE_ID = COURSESalias0.COURSE_ID GROUP BY STUDENT_COURSE_REGISTRATIONSalias0.COURSE_ID ;"
"Find id of candidates whose assessment code is "" var0 "" ?",spider,"SELECT CANDIDATE_ASSESSMENTSalias0.CANDIDATE_ID FROM CANDIDATE_ASSESSMENTS AS CANDIDATE_ASSESSMENTSalias0 WHERE CANDIDATE_ASSESSMENTSalias0.ASESSMENT_OUTCOME_CODE = ""var0"" ;"
What are the ids of the candidates that have an outcome code of var0 ?,spider,"SELECT CANDIDATE_ASSESSMENTSalias0.CANDIDATE_ID FROM CANDIDATE_ASSESSMENTS AS CANDIDATE_ASSESSMENTSalias0 WHERE CANDIDATE_ASSESSMENTSalias0.ASESSMENT_OUTCOME_CODE = ""var0"" ;"
"Find the cell mobile number of the candidates whose assessment code is "" var0 "" ?",spider,"SELECT PEOPLEalias0.CELL_MOBILE_NUMBER FROM CANDIDATES AS CANDIDATESalias0 JOIN CANDIDATE_ASSESSMENTS AS CANDIDATE_ASSESSMENTSalias0 ON CANDIDATE_ASSESSMENTSalias0.CANDIDATE_ID = CANDIDATESalias0.CANDIDATE_ID JOIN PEOPLE AS PEOPLEalias0 ON PEOPLEalias0.PERSON_ID = CANDIDATESalias0.CANDIDATE_ID WHERE CANDIDATE_ASSESSMENTSalias0.ASESSMENT_OUTCOME_CODE = ""var0"" ;"
"What are the cell phone numbers of the candidates that received an assessment code of "" var0 "" ?",spider,"SELECT PEOPLEalias0.CELL_MOBILE_NUMBER FROM CANDIDATES AS CANDIDATESalias0 JOIN CANDIDATE_ASSESSMENTS AS CANDIDATE_ASSESSMENTSalias0 ON CANDIDATE_ASSESSMENTSalias0.CANDIDATE_ID = CANDIDATESalias0.CANDIDATE_ID JOIN PEOPLE AS PEOPLEalias0 ON PEOPLEalias0.PERSON_ID = CANDIDATESalias0.CANDIDATE_ID WHERE CANDIDATE_ASSESSMENTSalias0.ASESSMENT_OUTCOME_CODE = ""var0"" ;"
What are the id of students who registered course var0 ?,spider,SELECT STUDENT_COURSE_ATTENDANCEalias0.STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 WHERE STUDENT_COURSE_ATTENDANCEalias0.COURSE_ID = var0 ;
What are the ids of the students who registered for course var0 ?,spider,SELECT STUDENT_COURSE_ATTENDANCEalias0.STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 WHERE STUDENT_COURSE_ATTENDANCEalias0.COURSE_ID = var0 ;
What is the id of the student who most recently registered course var0 ?,spider,SELECT STUDENT_COURSE_ATTENDANCEalias0.STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 WHERE COURSE_ID = var0 ORDER BY STUDENT_COURSE_ATTENDANCEalias0.DATE_OF_ATTENDANCE DESC LIMIT 1 ;
What are the ids of the students who registered for course var0 most recently ?,spider,SELECT STUDENT_COURSE_ATTENDANCEalias0.STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE AS STUDENT_COURSE_ATTENDANCEalias0 WHERE COURSE_ID = var0 ORDER BY STUDENT_COURSE_ATTENDANCEalias0.DATE_OF_ATTENDANCE DESC LIMIT 1 ;
Find distinct cities of addresses of people ?,spider,SELECT DISTINCT ADDRESSESalias0.CITY FROM ADDRESSES AS ADDRESSESalias0 JOIN PEOPLE_ADDRESSES AS PEOPLE_ADDRESSESalias0 ON PEOPLE_ADDRESSESalias0.ADDRESS_ID = ADDRESSESalias0.ADDRESS_ID ;
What are the different cities where people live ?,spider,SELECT DISTINCT ADDRESSESalias0.CITY FROM ADDRESSES AS ADDRESSESalias0 JOIN PEOPLE_ADDRESSES AS PEOPLE_ADDRESSESalias0 ON PEOPLE_ADDRESSESalias0.ADDRESS_ID = ADDRESSESalias0.ADDRESS_ID ;
