,Unnamed: 0,Unnamed: 0.1,question,sql,source
27,27,27,give the number of patients diagnosed with short title status autm crd dfbrltr.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Status autm crd dfbrltr""",medical
28,28,28,provide the number of patients whose diagnosis short title is hy kid nos w cr kid i-iv.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Hy kid NOS w cr kid I-IV""",medical
29,29,29,calculate the number of patients diagnosed with  b-complex defic nec,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""B-complex defic NEC""",medical
30,30,30,what is the total number of patients diagnosed with peritonitis nos?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Peritonitis NOS""",medical
31,31,31,calculate the total number of patients who had mild degree malnutrition ,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""Malnutrition mild degree""",medical
32,32,32,"how many patients have been diagnosed with type 1 diabetes with neurological manifestations, not stated as uncontrolled?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""SHORT_TITLE"" = ""DMI neuro nt st uncntrld""",medical
33,33,33,"how many patients are diagnosed with other anomalies of larnyx, trachea and bronchus?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Other anomalies of larynx, trachea, and bronchus""",medical
34,34,34,give the number of patients whose diagnosis long title is other and unspecified coagulation defects.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Other and unspecified coagulation defects""",medical
35,35,35,how many patients were diagnosed with seroma complicating procedure?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Seroma complicating a procedure""",medical
36,36,36,how many patients have anemia in chronic kidney disease as their diagnosis long title?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Anemia in chronic kidney disease""",medical
37,37,37,give the number of patients whose diagnosis long title is benign neoplasm of spinal meninges.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Benign neoplasm of spinal meninges""",medical
38,38,38,specify the total number of female patients who had personal history of venous thrombosis and embolism,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Personal history of venous thrombosis and embolism""",medical
39,39,39,how many patients are diagnosed with other drugs and medicinal substances causing adverse effects in therapeutic use?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Other drugs and medicinal substances causing adverse effects in therapeutic use""",medical
40,40,40,how many patients were diagnosed with other specified diseases of pericardium?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Other specified diseases of pericardium""",medical
41,41,41,calculate the total number of patients diagnosed with obstructive chronic bronchitis with acute bronchitis,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Obstructive chronic bronchitis with acute bronchitis""",medical
42,42,42,count the number of patients who are diagnosed with unspecified hereditary and idiopathic peripheral neuropathy.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Unspecified hereditary and idiopathic peripheral neuropathy""",medical
43,43,43,count the number of patients diagnosed with sepsis.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Sepsis""",medical
44,44,44,what is the number of patients who have been diagnosed with obstructive sleep apnea (adult) (pediatric)?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Obstructive sleep apnea (adult)(pediatric)""",medical
45,45,45,which patients have suicidal ideation diagnoses?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Suicidal ideation""",medical
46,46,46,what is the total number of patients who had unspecified chronic pulmonary heart disease?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Chronic pulmonary heart disease, unspecified""",medical
47,47,47,count the number of patients whose diagnosis long title is unspecified disease of pericardium.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Unspecified disease of pericardium""",medical
48,48,48,how many patients are diagnosed with personal history of surgery to other organs?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Personal history of surgery to other organs""",medical
49,49,49,"how many patients are diagnosed with cerebral aneurysm, nonruptured?","SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN DIAGNOSES on DEMOGRAPHIC.HADM_ID = DIAGNOSES.HADM_ID WHERE DIAGNOSES.""LONG_TITLE"" = ""Cerebral aneurysm, nonruptured""",medical
50,50,50,give the number of patients whose procedure icd9 code is 5185.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""ICD9_CODE"" = ""5185""",medical
51,51,51,get the number of patients with procedure icd9 code 4439.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""ICD9_CODE"" = ""4439""",medical
52,52,52,provide the number of patients whose procedure icd9 code is 8321.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""ICD9_CODE"" = ""8321""",medical
53,53,53,which patients have procedure icd9 code 252?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""ICD9_CODE"" = ""252""",medical
54,54,54,tell me the number of patients with procedure icd9 code 5361.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""ICD9_CODE"" = ""5361""",medical
55,55,55,what is the total number of patients who had icd9 code 9907,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""ICD9_CODE"" = ""9907""",medical
56,56,56,what number of patients had procedure under procedure icd9 code 4341?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""ICD9_CODE"" = ""4341""",medical
57,57,57,which patients have procedure icd9 code 4041?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""ICD9_CODE"" = ""4041""",medical
58,58,58,how many patients are diagnosed with bronchoscopy?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""SHORT_TITLE"" = ""Other bronchoscopy""",medical
59,59,59,how many patients had arteriography of cerebral arteries?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""SHORT_TITLE"" = ""Contr cerebr arteriogram""",medical
60,60,60,calculate the total number of patients who had endosc remove bile stone,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""SHORT_TITLE"" = ""Endosc remove bile stone""",medical
61,61,61,count the number of patients who had the procedure titled endoscopic excision or destruction of lesion or tissue of stomach.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""LONG_TITLE"" = ""Endoscopic excision or destruction of lesion or tissue of stomach""",medical
62,62,62,how many patients had procedure long title as (aorto) coronary bypass of three coronary arteries?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""LONG_TITLE"" = ""(Aorto)coronary bypass of three coronary arteries""",medical
63,63,63,calculate the total number of patients who had initial insertion of dual-chamber device,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""LONG_TITLE"" = ""Initial insertion of dual-chamber device""",medical
64,64,64,how many patients underwent the procedure titled closed (percutaneous)[needle] biopsy of liver?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""LONG_TITLE"" = ""Closed (percutaneous) [needle] biopsy of liver""",medical
65,65,65,how many patients underwent open and other left hemicolectomy procedure?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PROCEDURES on DEMOGRAPHIC.HADM_ID = PROCEDURES.HADM_ID WHERE PROCEDURES.""LONG_TITLE"" = ""Open and other left hemicolectomy""",medical
66,66,66,calculate the number of patients to whom neo*iv*clindamycin was administered,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""DRUG"" = ""NEO*IV*Clindamycin""",medical
67,67,67,calculate the total number of patients treated with morphine sulfate,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""DRUG"" = ""Morphine Sulfate""",medical
68,68,68,how many patietns had the drug fluoxetine hcl?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""DRUG"" = ""Fluoxetine HCl""",medical
69,69,69,what is the total number of patients treated with mupirocin cream 2%?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""DRUG"" = ""Mupirocin Cream 2%""",medical
70,70,70,find out the number of patients who have been prescribed neo*iv*ampicillin sodium.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""DRUG"" = ""NEO*IV*AMPicillin Sodium""",medical
71,71,71,which patients have prescription for sodium polystyrene sulfonate?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""DRUG"" = ""Sodium Polystyrene Sulfonate""",medical
72,72,72,give me the number of patients who have prescription for neo*iv*fat emulsion.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""DRUG"" = ""NEO*IV*Fat Emulsion""",medical
73,73,73,how many patients use the drug oxycodone acetaminophen?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""DRUG"" = ""Oxycodone-Acetaminophen""",medical
74,74,74,which patients have levetiracetam prescription?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""DRUG"" = ""Levetiracetam""",medical
75,75,75,what number of patients were given the drug cefepime?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""DRUG"" = ""CefePIME""",medical
76,76,76,which patients have lope2 drug code?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""LOPE2""",medical
77,77,77,how many patients have drug code morp0.5-4?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""MORP0.5-4""",medical
78,78,78,give the number of patients whose drug code is ddav4i.,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""DDAV4I""",medical
79,79,79,how many of the patients were treated with drug gcsf480i?,"SELECT COUNT ( DISTINCT DEMOGRAPHIC.""SUBJECT_ID"" ) FROM DEMOGRAPHIC INNER JOIN PRESCRIPTIONS on DEMOGRAPHIC.HADM_ID = PRESCRIPTIONS.HADM_ID WHERE PRESCRIPTIONS.""FORMULARY_DRUG_CD"" = ""GCSF480I""",medical
