question,source,sql
List all the reviews by user_name0 for category_name0 category_name1,yelp,"SELECT REVIEWalias0.TEXT FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , CATEGORY AS CATEGORYalias1 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND CATEGORYalias1.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias1.CATEGORY_NAME = ""category_name1"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.NAME = ""user_name0"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
"find the number of reviews written for "" business_name0 "" category_name0 in business_state0",yelp,"SELECT BUSINESSalias0.REVIEW_COUNT FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND BUSINESSalias0.STATE = ""business_state0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
List all business_rating0 star category_name0 category_name1,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , CATEGORY AS CATEGORYalias1 WHERE BUSINESSalias0.RATING = business_rating0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND CATEGORYalias1.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias1.CATEGORY_NAME = ""category_name1"" ;"
List all the neighborhoods with category_name0 category_name1 in business_city0,yelp,"SELECT NEIGHBORHOODalias0.NEIGHBORHOOD_NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , CATEGORY AS CATEGORYalias1 , NEIGHBORHOOD AS NEIGHBORHOODalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND CATEGORYalias1.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias1.CATEGORY_NAME = ""category_name1"" AND NEIGHBORHOODalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID ;"
List all the neighborhoods with category_name0 category_name1 rated less than business_rating0 in business_city0,yelp,"SELECT NEIGHBORHOODalias0.NEIGHBORHOOD_NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , CATEGORY AS CATEGORYalias1 , NEIGHBORHOOD AS NEIGHBORHOODalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND BUSINESSalias0.RATING < business_rating0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND CATEGORYalias1.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias1.CATEGORY_NAME = ""category_name1"" AND NEIGHBORHOODalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID ;"
find all the category_name0 in business_state0,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.STATE = ""business_state0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
List all businesses that are category_name0 in business_state0 .,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.STATE = ""business_state0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
Find all the reviews for all category_name0 with more than business_review_count0 reviews,yelp,"SELECT REVIEWalias0.TEXT FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , REVIEW AS REVIEWalias0 WHERE BUSINESSalias0.REVIEW_COUNT > business_review_count0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID ;"
Find all category_name0 which have more than business_review_count0 reviews,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.REVIEW_COUNT > business_review_count0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"What are all the category_name0 in "" business_city0 "" ?",yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
Find all category_name0 in business_city0,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"Find all category_name0 in "" business_city0 """,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
Find all category_name0 in business_city0,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"Find all category_name0 in "" business_city0 """,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"Find all category_name0 in "" business_city0 """,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"Find all category_name0 in "" business_city0 "" with more than business_review_count0 reviews",yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND BUSINESSalias0.REVIEW_COUNT > business_review_count0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
Find all category_name0 in business_city0 with at least business_review_count0 reviews,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND BUSINESSalias0.REVIEW_COUNT >= business_review_count0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"Find all category_name0 in "" business_city0 "" with at least business_review_count0 reviews",yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND BUSINESSalias0.REVIEW_COUNT >= business_review_count0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"Find all users who reviewed category_name0 "" business_name0 """,yelp,"SELECT USERalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
"List the addresses of all business_name0 in "" business_city0 """,yelp,"SELECT BUSINESSalias0.FULL_ADDRESS FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND BUSINESSalias0.NAME = ""business_name0"" ;"
"Find all category_name0 reviewed by user_name0 in "" business_city0 """,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.NAME = ""user_name0"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
Which category_name0 in business_city0 were reviewed by user user_name0 ?,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.NAME = ""user_name0"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
Find all category_name0 reviewed by user_name0,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.NAME = ""user_name0"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
Find all category_name0 reviewed by user_name0 with at least business_rating0 stars,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE BUSINESSalias0.RATING >= business_rating0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.NAME = ""user_name0"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
"Find all users who have written tips for "" business_name0 "" in tip_year0",yelp,"SELECT USERalias0.NAME FROM BUSINESS AS BUSINESSalias0 , TIP AS TIPalias0 , USER AS USERalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND TIPalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND TIPalias0.YEAR = tip_year0 AND USERalias0.USER_ID = TIPalias0.USER_ID ;"
Find all businesses in business_state0 with a rating below business_rating0,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.RATING < business_rating0 AND BUSINESSalias0.STATE = ""business_state0"" ;"
Find all category_name1 category_name0 in business_city0,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , CATEGORY AS CATEGORYalias1 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND CATEGORYalias1.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias1.CATEGORY_NAME = ""category_name1"" ;"
"List all the category_name0 category_name1 in "" business_city0 """,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , CATEGORY AS CATEGORYalias1 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND CATEGORYalias1.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias1.CATEGORY_NAME = ""category_name1"" ;"
"Find all category_name1 that serve category_name0 in "" business_city0 """,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , CATEGORY AS CATEGORYalias1 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND CATEGORYalias1.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias1.CATEGORY_NAME = ""category_name1"" ;"
Find all reviews by user_name0 with a rating above review_rating0,yelp,"SELECT REVIEWalias0.TEXT FROM REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE REVIEWalias0.RATING > review_rating0 AND USERalias0.NAME = ""user_name0"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
"Find all business_name0 in "" business_city0 """,yelp,"SELECT BUSINESSalias0.BUSINESS_ID FROM BUSINESS AS BUSINESSalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND BUSINESSalias0.NAME = ""business_name0"" ;"
Find all business_city0 category_name0 with a rating above business_rating0,yelp,"SELECT BUSINESSalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND BUSINESSalias0.RATING > business_rating0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"What neighborhood is category_name0 "" business_name0 "" in ?",yelp,"SELECT NEIGHBORHOODalias0.NEIGHBORHOOD_NAME FROM BUSINESS AS BUSINESSalias0 , NEIGHBORHOOD AS NEIGHBORHOODalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND NEIGHBORHOODalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID ;"
"Find all tips about "" business_name0 "" that received more than tip_likes0 likes",yelp,"SELECT TIPalias0.TEXT FROM BUSINESS AS BUSINESSalias0 , TIP AS TIPalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND TIPalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND TIPalias0.LIKES > tip_likes0 ;"
"Find all reviews about "" business_name0 "" in year review_year0",yelp,"SELECT REVIEWalias0.TEXT FROM BUSINESS AS BUSINESSalias0 , REVIEW AS REVIEWalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND REVIEWalias0.YEAR = review_year0 ;"
Find all users who have written tips about businesses in business_city0,yelp,"SELECT USERalias0.NAME FROM BUSINESS AS BUSINESSalias0 , TIP AS TIPalias0 , USER AS USERalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND TIPalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.USER_ID = TIPalias0.USER_ID ;"
"Find all cities in business_state0 in which there is a category_name0 called "" business_name0 """,yelp,"SELECT BUSINESSalias0.CITY FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND BUSINESSalias0.STATE = ""business_state0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
Find the users who have given tips on category_name0,yelp,"SELECT USERalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , TIP AS TIPalias0 , USER AS USERalias0 WHERE CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND TIPalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.USER_ID = TIPalias0.USER_ID ;"
List all reviews for category_name0 with rating less than review_rating0,yelp,"SELECT REVIEWalias0.TEXT FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , REVIEW AS REVIEWalias0 WHERE BUSINESSalias0.RATING < review_rating0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID ;"
In which neighborhoods has user_name0 reviewed a business ?,yelp,"SELECT NEIGHBORHOODalias0.NAME FROM BUSINESS AS BUSINESSalias0 , NEIGHBORHOOD AS NEIGHBORHOODalias0 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE NEIGHBORHOODalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.NAME = ""user_name0"" AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
"Find all tips for "" business_name0 "" in business_state0 .",yelp,"SELECT TIPalias0.TEXT FROM BUSINESS AS BUSINESSalias0 , TIP AS TIPalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND BUSINESSalias0.STATE = ""business_state0"" AND TIPalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID ;"
List all users who reviewed businesses that are category_name0 .,yelp,"SELECT USERalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
"List all tips for "" business_name0 "" in business_state0 in tip_year0 .",yelp,"SELECT TIPalias0.TEXT FROM BUSINESS AS BUSINESSalias0 , TIP AS TIPalias0 WHERE BUSINESSalias0.NAME = ""business_name0"" AND BUSINESSalias0.STATE = ""business_state0"" AND TIPalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND TIPalias0.YEAR = tip_year0 ;"
List all users who reviewed businesses that are category_name0 in review_year0 .,yelp,"SELECT USERalias0.NAME FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , REVIEW AS REVIEWalias0 , USER AS USERalias0 WHERE CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND REVIEWalias0.YEAR = review_year0 AND USERalias0.USER_ID = REVIEWalias0.USER_ID ;"
Find all the tips from a user who has written a review in review_year0,yelp,"SELECT TIPalias0.TEXT FROM REVIEW AS REVIEWalias0 , TIP AS TIPalias0 , USER AS USERalias0 WHERE REVIEWalias0.YEAR = review_year0 AND USERalias0.USER_ID = REVIEWalias0.USER_ID AND USERalias0.USER_ID = TIPalias0.USER_ID ;"
Find all reviews for businesses rated business_rating0,yelp,"SELECT REVIEWalias0.TEXT FROM BUSINESS AS BUSINESSalias0 , REVIEW AS REVIEWalias0 WHERE BUSINESSalias0.RATING = business_rating0 AND REVIEWalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID ;"
find the number of category_name0 in business_city0,yelp,"SELECT COUNT( DISTINCT ( BUSINESSalias0.NAME ) ) FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
What is the number of category_name0 in business_city0,yelp,"SELECT COUNT( DISTINCT ( BUSINESSalias0.NAME ) ) FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
How many category_name0 exist in business_city0,yelp,"SELECT COUNT( DISTINCT ( BUSINESSalias0.NAME ) ) FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"What is the number of category_name0 in "" business_city0 "" ?",yelp,"SELECT COUNT( DISTINCT ( BUSINESSalias0.NAME ) ) FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
How many category_name0 are there in business_city0 ?,yelp,"SELECT COUNT( DISTINCT ( BUSINESSalias0.NAME ) ) FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
find the number of category_name0 rated more than business_rating0,yelp,"SELECT COUNT( DISTINCT ( BUSINESSalias0.NAME ) ) FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 WHERE BUSINESSalias0.RATING > business_rating0 AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" ;"
"find the total checkins in category_name1 category_name0 in "" business_city0 """,yelp,"SELECT SUM( CHECKINalias0.COUNT ) FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , CATEGORY AS CATEGORYalias1 , CHECKIN AS CHECKINalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND CATEGORYalias1.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias1.CATEGORY_NAME = ""category_name1"" AND CHECKINalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID ;"
"find the total checkins in category_name0 category_name1 in "" business_city0 "" on checkin_day0",yelp,"SELECT SUM( CHECKINalias0.COUNT ) FROM BUSINESS AS BUSINESSalias0 , CATEGORY AS CATEGORYalias0 , CATEGORY AS CATEGORYalias1 , CHECKIN AS CHECKINalias0 WHERE BUSINESSalias0.CITY = ""business_city0"" AND CATEGORYalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias0.CATEGORY_NAME = ""category_name0"" AND CATEGORYalias1.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CATEGORYalias1.CATEGORY_NAME = ""category_name1"" AND CHECKINalias0.BUSINESS_ID = BUSINESSalias0.BUSINESS_ID AND CHECKINalias0.DAY = ""checkin_day0"" ;"
