,question,sql,source
14,"Which department has more than 1 head at a time? List the id, name and the number of heads.","SELECT DEPARTMENT.DEPARTMENT_ID , DEPARTMENT.NAME , COUNT(*) FROM MANAGEMENT JOIN DEPARTMENT ON DEPARTMENT.DEPARTMENT_ID = MANAGEMENT.DEPARTMENT_ID GROUP BY DEPARTMENT.DEPARTMENT_ID HAVING COUNT(*) > 1",train_spider
15,Which head's name has the substring 'Ha'? List the id and name.,"SELECT HEAD_ID , NAME FROM HEAD WHERE NAME LIKE '%HA%'",train_spider
16,How many farms are there?,SELECT COUNT(*) FROM FARM,train_spider
17,Count the number of farms.,SELECT COUNT(*) FROM FARM,train_spider
18,List the total number of horses on farms in ascending order.,SELECT TOTAL_HORSES FROM FARM ORDER BY TOTAL_HORSES ASC,train_spider
19,"What is the total horses record for each farm, sorted ascending?",SELECT TOTAL_HORSES FROM FARM ORDER BY TOTAL_HORSES ASC,train_spider
20,"What are the hosts of competitions whose theme is not ""Aliens""?",SELECT HOSTS FROM FARM_COMPETITION WHERE THEME != 'ALIENS',train_spider
21,Return the hosts of competitions for which the theme is not Aliens?,SELECT HOSTS FROM FARM_COMPETITION WHERE THEME != 'ALIENS',train_spider
22,What are the themes of farm competitions sorted by year in ascending order?,SELECT THEME FROM FARM_COMPETITION ORDER BY YEAR ASC,train_spider
23,"Return the themes of farm competitions, sorted by year ascending.",SELECT THEME FROM FARM_COMPETITION ORDER BY YEAR ASC,train_spider
24,What is the average number of working horses of farms with more than 5000 total number of horses?,SELECT AVG(WORKING_HORSES) FROM FARM WHERE TOTAL_HORSES > 5000,train_spider
25,Give the average number of working horses on farms with more than 5000 total horses.,SELECT AVG(WORKING_HORSES) FROM FARM WHERE TOTAL_HORSES > 5000,train_spider
26,What are the maximum and minimum number of cows across all farms.,"SELECT MAX(COWS) , MIN(COWS) FROM FARM",train_spider
27,Return the maximum and minimum number of cows across all farms.,"SELECT MAX(COWS) , MIN(COWS) FROM FARM",train_spider
28,How many different statuses do cities have?,SELECT COUNT(DISTINCT STATUS) FROM CITY,train_spider
29,Count the number of different statuses.,SELECT COUNT(DISTINCT STATUS) FROM CITY,train_spider
30,List official names of cities in descending order of population.,SELECT OFFICIAL_NAME FROM CITY ORDER BY POPULATION DESC,train_spider
31,"What are the official names of cities, ordered descending by population?",SELECT OFFICIAL_NAME FROM CITY ORDER BY POPULATION DESC,train_spider
32,List the official name and status of the city with the largest population.,"SELECT OFFICIAL_NAME , STATUS FROM CITY ORDER BY POPULATION DESC LIMIT 1",train_spider
33,What is the official name and status of the city with the most residents?,"SELECT OFFICIAL_NAME , STATUS FROM CITY ORDER BY POPULATION DESC LIMIT 1",train_spider
34,Show the years and the official names of the host cities of competitions.,"SELECT FARM_COMPETITION.YEAR , CITY.OFFICIAL_NAME FROM CITY JOIN FARM_COMPETITION ON CITY.CITY_ID = FARM_COMPETITION.HOST_CITY_ID",train_spider
35,Give the years and official names of the cities of each competition.,"SELECT FARM_COMPETITION.YEAR , CITY.OFFICIAL_NAME FROM CITY JOIN FARM_COMPETITION ON CITY.CITY_ID = FARM_COMPETITION.HOST_CITY_ID",train_spider
36,Show the official names of the cities that have hosted more than one competition.,SELECT CITY.OFFICIAL_NAME FROM CITY JOIN FARM_COMPETITION ON CITY.CITY_ID = FARM_COMPETITION.HOST_CITY_ID GROUP BY FARM_COMPETITION.HOST_CITY_ID HAVING COUNT(*) > 1,train_spider
37,What are the official names of cities that have hosted more than one competition?,SELECT CITY.OFFICIAL_NAME FROM CITY JOIN FARM_COMPETITION ON CITY.CITY_ID = FARM_COMPETITION.HOST_CITY_ID GROUP BY FARM_COMPETITION.HOST_CITY_ID HAVING COUNT(*) > 1,train_spider
38,Show the status of the city that has hosted the greatest number of competitions.,SELECT CITY.STATUS FROM CITY JOIN FARM_COMPETITION ON CITY.CITY_ID = FARM_COMPETITION.HOST_CITY_ID GROUP BY FARM_COMPETITION.HOST_CITY_ID ORDER BY COUNT(*) DESC LIMIT 1,train_spider
39,What is the status of the city that has hosted the most competitions?,SELECT CITY.STATUS FROM CITY JOIN FARM_COMPETITION ON CITY.CITY_ID = FARM_COMPETITION.HOST_CITY_ID GROUP BY FARM_COMPETITION.HOST_CITY_ID ORDER BY COUNT(*) DESC LIMIT 1,train_spider
40,Please show the themes of competitions with host cities having populations larger than 1000.,SELECT FARM_COMPETITION.THEME FROM CITY JOIN FARM_COMPETITION ON CITY.CITY_ID = FARM_COMPETITION.HOST_CITY_ID WHERE CITY.POPULATION > 1000,train_spider
41,What are the themes of competitions that have corresponding host cities with more than 1000 residents?,SELECT FARM_COMPETITION.THEME FROM CITY JOIN FARM_COMPETITION ON CITY.CITY_ID = FARM_COMPETITION.HOST_CITY_ID WHERE CITY.POPULATION > 1000,train_spider
42,Please show the different statuses of cities and the average population of cities with each status.,"SELECT STATUS , AVG(POPULATION) FROM CITY GROUP BY STATUS",train_spider
43,What are the statuses and average populations of each city?,"SELECT STATUS , AVG(POPULATION) FROM CITY GROUP BY STATUS",train_spider
44,"Please show the different statuses, ordered by the number of cities that have each.",SELECT STATUS FROM CITY GROUP BY STATUS ORDER BY COUNT(*) ASC,train_spider
45,"Return the different statuses of cities, ascending by frequency.",SELECT STATUS FROM CITY GROUP BY STATUS ORDER BY COUNT(*) ASC,train_spider
46,List the most common type of Status across cities.,SELECT STATUS FROM CITY GROUP BY STATUS ORDER BY COUNT(*) DESC LIMIT 1,train_spider
47,What is the most common status across all cities?,SELECT STATUS FROM CITY GROUP BY STATUS ORDER BY COUNT(*) DESC LIMIT 1,train_spider
48,List the official names of cities that have not held any competition.,SELECT OFFICIAL_NAME FROM CITY WHERE CITY_ID NOT IN (SELECT HOST_CITY_ID FROM FARM_COMPETITION),train_spider
49,What are the official names of cities that have not hosted a farm competition?,SELECT OFFICIAL_NAME FROM CITY WHERE CITY_ID NOT IN (SELECT HOST_CITY_ID FROM FARM_COMPETITION),train_spider
50,Show the status shared by cities with population bigger than 1500 and smaller than 500.,SELECT STATUS FROM CITY WHERE POPULATION > 1500 INTERSECT SELECT STATUS FROM CITY WHERE POPULATION < 500,train_spider
51,Which statuses correspond to both cities that have a population over 1500 and cities that have a population lower than 500?,SELECT STATUS FROM CITY WHERE POPULATION > 1500 INTERSECT SELECT STATUS FROM CITY WHERE POPULATION < 500,train_spider
52,Find the official names of cities with population bigger than 1500 or smaller than 500.,SELECT OFFICIAL_NAME FROM CITY WHERE POPULATION > 1500 OR POPULATION < 500,train_spider
53,What are the official names of cities that have population over 1500 or less than 500?,SELECT OFFICIAL_NAME FROM CITY WHERE POPULATION > 1500 OR POPULATION < 500,train_spider
54,"Show the census ranking of cities whose status are not ""Village"".","SELECT CENSUS_RANKING FROM CITY WHERE STATUS != ""VILLAGE""",train_spider
55,"What are the census rankings of cities that do not have the status ""Village""?","SELECT CENSUS_RANKING FROM CITY WHERE STATUS != ""VILLAGE""",train_spider
56,which course has most number of registered students?,SELECT COURSES.COURSE_NAME FROM COURSES JOIN STUDENT_COURSE_REGISTRATIONS ON COURSES.COURSE_ID = STUDENT_COURSE_REGISTRATIONS.COURSE_ID GROUP BY COURSES.COURSE_ID ORDER BY COUNT(*) DESC LIMIT 1,train_spider
57,What is the name of the course with the most registered students?,SELECT COURSES.COURSE_NAME FROM COURSES JOIN STUDENT_COURSE_REGISTRATIONS ON COURSES.COURSE_ID = STUDENT_COURSE_REGISTRATIONS.COURSE_ID GROUP BY COURSES.COURSE_ID ORDER BY COUNT(*) DESC LIMIT 1,train_spider
58,what is id of students who registered some courses but the least number of courses in these students?,SELECT STUDENT_ID FROM STUDENT_COURSE_REGISTRATIONS GROUP BY STUDENT_ID ORDER BY COUNT(*) LIMIT 1,train_spider
59,What are the ids of the students who registered for some courses but had the least number of courses for all students?,SELECT STUDENT_ID FROM STUDENT_COURSE_REGISTRATIONS GROUP BY STUDENT_ID ORDER BY COUNT(*) LIMIT 1,train_spider
60,what are the first name and last name of all candidates?,"SELECT PEOPLE.FIRST_NAME , PEOPLE.LAST_NAME FROM CANDIDATES JOIN PEOPLE ON CANDIDATES.CANDIDATE_ID = PEOPLE.PERSON_ID",train_spider
61,What are the first and last names of all the candidates?,"SELECT PEOPLE.FIRST_NAME , PEOPLE.LAST_NAME FROM CANDIDATES JOIN PEOPLE ON CANDIDATES.CANDIDATE_ID = PEOPLE.PERSON_ID",train_spider
62,List the id of students who never attends courses?,SELECT STUDENT_ID FROM STUDENTS WHERE STUDENT_ID NOT IN (SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE),train_spider
63,What are the  ids of every student who has never attended a course?,SELECT STUDENT_ID FROM STUDENTS WHERE STUDENT_ID NOT IN (SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE),train_spider
64,List the id of students who attended some courses?,SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE,train_spider
65,What are the ids of all students who have attended at least one course?,SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE,train_spider
66,What are the ids of all students for courses and what are the names of those courses?,"SELECT STUDENT_COURSE_REGISTRATIONS.STUDENT_ID , COURSES.COURSE_NAME FROM STUDENT_COURSE_REGISTRATIONS JOIN COURSES ON STUDENT_COURSE_REGISTRATIONS.COURSE_ID = COURSES.COURSE_ID",train_spider
67,What is detail of the student who most recently registered course?,SELECT STUDENTS.STUDENT_DETAILS FROM STUDENT_COURSE_REGISTRATIONS JOIN STUDENTS ON STUDENT_COURSE_REGISTRATIONS.STUDENT_ID = STUDENTS.STUDENT_ID ORDER BY STUDENT_COURSE_REGISTRATIONS.REGISTRATION_DATE DESC LIMIT 1,train_spider
68,What details do we have on the students who registered for courses most recently?,SELECT STUDENTS.STUDENT_DETAILS FROM STUDENT_COURSE_REGISTRATIONS JOIN STUDENTS ON STUDENT_COURSE_REGISTRATIONS.STUDENT_ID = STUDENTS.STUDENT_ID ORDER BY STUDENT_COURSE_REGISTRATIONS.REGISTRATION_DATE DESC LIMIT 1,train_spider
69,How many students attend course English?,"SELECT COUNT(*) FROM COURSES JOIN STUDENT_COURSE_ATTENDANCE ON COURSES.COURSE_ID = STUDENT_COURSE_ATTENDANCE.COURSE_ID WHERE COURSES.COURSE_NAME = ""ENGLISH""",train_spider
70,How many students are attending English courses?,"SELECT COUNT(*) FROM COURSES JOIN STUDENT_COURSE_ATTENDANCE ON COURSES.COURSE_ID = STUDENT_COURSE_ATTENDANCE.COURSE_ID WHERE COURSES.COURSE_NAME = ""ENGLISH""",train_spider
71,How many courses do the student whose id is 171 attend?,SELECT COUNT(*) FROM COURSES JOIN STUDENT_COURSE_ATTENDANCE ON COURSES.COURSE_ID = STUDENT_COURSE_ATTENDANCE.COURSE_ID WHERE STUDENT_COURSE_ATTENDANCE.STUDENT_ID = 171,train_spider
72,How many courses does the student with id 171 actually attend?,SELECT COUNT(*) FROM COURSES JOIN STUDENT_COURSE_ATTENDANCE ON COURSES.COURSE_ID = STUDENT_COURSE_ATTENDANCE.COURSE_ID WHERE STUDENT_COURSE_ATTENDANCE.STUDENT_ID = 171,train_spider
73,Find id of the candidate whose email is stanley.monahan@example.org?,"SELECT CANDIDATES.CANDIDATE_ID FROM PEOPLE JOIN CANDIDATES ON PEOPLE.PERSON_ID = CANDIDATES.CANDIDATE_ID WHERE PEOPLE.EMAIL_ADDRESS = ""STANLEY.MONAHAN@EXAMPLE.ORG""",train_spider
74,What is the id of the candidate whose email is stanley.monahan@example.org?,"SELECT CANDIDATES.CANDIDATE_ID FROM PEOPLE JOIN CANDIDATES ON PEOPLE.PERSON_ID = CANDIDATES.CANDIDATE_ID WHERE PEOPLE.EMAIL_ADDRESS = ""STANLEY.MONAHAN@EXAMPLE.ORG""",train_spider
75,Find id of the candidate who most recently accessed the course?,SELECT CANDIDATE_ID FROM CANDIDATE_ASSESSMENTS ORDER BY ASSESSMENT_DATE DESC LIMIT 1,train_spider
76,What is the id of the candidate who most recently accessed the course?,SELECT CANDIDATE_ID FROM CANDIDATE_ASSESSMENTS ORDER BY ASSESSMENT_DATE DESC LIMIT 1,train_spider
77,What is detail of the student who registered the most number of courses?,SELECT STUDENTS.STUDENT_DETAILS FROM STUDENTS JOIN STUDENT_COURSE_REGISTRATIONS ON STUDENTS.STUDENT_ID = STUDENT_COURSE_REGISTRATIONS.STUDENT_ID GROUP BY STUDENTS.STUDENT_ID ORDER BY COUNT(*) DESC LIMIT 1,train_spider
78,What are the details of the student who registered for the most number of courses?,SELECT STUDENTS.STUDENT_DETAILS FROM STUDENTS JOIN STUDENT_COURSE_REGISTRATIONS ON STUDENTS.STUDENT_ID = STUDENT_COURSE_REGISTRATIONS.STUDENT_ID GROUP BY STUDENTS.STUDENT_ID ORDER BY COUNT(*) DESC LIMIT 1,train_spider
79,List the id of students who registered some courses and the number of their registered courses?,"SELECT STUDENTS.STUDENT_ID , COUNT(*) FROM STUDENTS JOIN STUDENT_COURSE_REGISTRATIONS ON STUDENTS.STUDENT_ID = STUDENT_COURSE_REGISTRATIONS.STUDENT_ID GROUP BY STUDENTS.STUDENT_ID",train_spider
80,"For every student who is registered for some course, how many courses are they registered for?","SELECT STUDENTS.STUDENT_ID , COUNT(*) FROM STUDENTS JOIN STUDENT_COURSE_REGISTRATIONS ON STUDENTS.STUDENT_ID = STUDENT_COURSE_REGISTRATIONS.STUDENT_ID GROUP BY STUDENTS.STUDENT_ID",train_spider
81,How many registed students do each course have? List course name and the number of their registered students?,"SELECT COURSES.COURSE_NAME , COUNT(*) FROM STUDENTS JOIN STUDENT_COURSE_REGISTRATIONS ON STUDENTS.STUDENT_ID = STUDENT_COURSE_REGISTRATIONS.STUDENT_ID JOIN COURSES ON STUDENT_COURSE_REGISTRATIONS.COURSE_ID = COURSES.COURSE_ID GROUP BY STUDENT_COURSE_REGISTRATIONS.COURSE_ID",train_spider
82,"For each course id, how many students are registered and what are the course names?","SELECT COURSES.COURSE_NAME , COUNT(*) FROM STUDENTS JOIN STUDENT_COURSE_REGISTRATIONS ON STUDENTS.STUDENT_ID = STUDENT_COURSE_REGISTRATIONS.STUDENT_ID JOIN COURSES ON STUDENT_COURSE_REGISTRATIONS.COURSE_ID = COURSES.COURSE_ID GROUP BY STUDENT_COURSE_REGISTRATIONS.COURSE_ID",train_spider
83,"Find id of candidates whose assessment code is ""Pass""?","SELECT CANDIDATE_ID FROM CANDIDATE_ASSESSMENTS WHERE ASESSMENT_OUTCOME_CODE = ""PASS""",train_spider
84,What are the ids of the candidates that have an outcome code of Pass?,"SELECT CANDIDATE_ID FROM CANDIDATE_ASSESSMENTS WHERE ASESSMENT_OUTCOME_CODE = ""PASS""",train_spider
85,"Find the cell mobile number of the candidates whose assessment code is ""Fail""?","SELECT PEOPLE.CELL_MOBILE_NUMBER FROM CANDIDATES JOIN CANDIDATE_ASSESSMENTS ON CANDIDATES.CANDIDATE_ID = CANDIDATE_ASSESSMENTS.CANDIDATE_ID JOIN PEOPLE ON CANDIDATES.CANDIDATE_ID = PEOPLE.PERSON_ID WHERE CANDIDATE_ASSESSMENTS.ASESSMENT_OUTCOME_CODE = ""FAIL""",train_spider
86,"What are the cell phone numbers of the candidates that received an assessment code of ""Fail""?","SELECT PEOPLE.CELL_MOBILE_NUMBER FROM CANDIDATES JOIN CANDIDATE_ASSESSMENTS ON CANDIDATES.CANDIDATE_ID = CANDIDATE_ASSESSMENTS.CANDIDATE_ID JOIN PEOPLE ON CANDIDATES.CANDIDATE_ID = PEOPLE.PERSON_ID WHERE CANDIDATE_ASSESSMENTS.ASESSMENT_OUTCOME_CODE = ""FAIL""",train_spider
87,What are the id of students who registered course 301?,SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE WHERE COURSE_ID = 301,train_spider
88,What are the ids of the students who registered for course 301?,SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE WHERE COURSE_ID = 301,train_spider
89,What is the id of the student who most recently registered course 301?,SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE WHERE COURSE_ID = 301 ORDER BY DATE_OF_ATTENDANCE DESC LIMIT 1,train_spider
90,What are the ids of the students who registered for course 301 most recently?,SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE WHERE COURSE_ID = 301 ORDER BY DATE_OF_ATTENDANCE DESC LIMIT 1,train_spider
91,Find distinct cities of addresses of people?,SELECT DISTINCT ADDRESSES.CITY FROM ADDRESSES JOIN PEOPLE_ADDRESSES ON ADDRESSES.ADDRESS_ID = PEOPLE_ADDRESSES.ADDRESS_ID,train_spider
92,What are the different cities where people live?,SELECT DISTINCT ADDRESSES.CITY FROM ADDRESSES JOIN PEOPLE_ADDRESSES ON ADDRESSES.ADDRESS_ID = PEOPLE_ADDRESSES.ADDRESS_ID,train_spider
93,Find distinct cities of address of students?,SELECT DISTINCT ADDRESSES.CITY FROM ADDRESSES JOIN PEOPLE_ADDRESSES ON ADDRESSES.ADDRESS_ID = PEOPLE_ADDRESSES.ADDRESS_ID JOIN STUDENTS ON PEOPLE_ADDRESSES.PERSON_ID = STUDENTS.STUDENT_ID,train_spider
94,What are the different cities where students live?,SELECT DISTINCT ADDRESSES.CITY FROM ADDRESSES JOIN PEOPLE_ADDRESSES ON ADDRESSES.ADDRESS_ID = PEOPLE_ADDRESSES.ADDRESS_ID JOIN STUDENTS ON PEOPLE_ADDRESSES.PERSON_ID = STUDENTS.STUDENT_ID,train_spider
95,List the names of courses in alphabetical order?,SELECT COURSE_NAME FROM COURSES ORDER BY COURSE_NAME,train_spider
96,What are the names of the courses in alphabetical order?,SELECT COURSE_NAME FROM COURSES ORDER BY COURSE_NAME,train_spider
97,List the first names of people in alphabetical order?,SELECT FIRST_NAME FROM PEOPLE ORDER BY FIRST_NAME,train_spider
98,What are the first names of the people in alphabetical order?,SELECT FIRST_NAME FROM PEOPLE ORDER BY FIRST_NAME,train_spider
99,What are the id of students who registered courses or attended courses?,SELECT STUDENT_ID FROM STUDENT_COURSE_REGISTRATIONS UNION SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE,train_spider
100,What are the ids of the students who either registered or attended a course?,SELECT STUDENT_ID FROM STUDENT_COURSE_REGISTRATIONS UNION SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE,train_spider
101,Find the id of courses which are registered or attended by student whose id is 121?,SELECT COURSE_ID FROM STUDENT_COURSE_REGISTRATIONS WHERE STUDENT_ID = 121 UNION SELECT COURSE_ID FROM STUDENT_COURSE_ATTENDANCE WHERE STUDENT_ID = 121,train_spider
102,What are the ids of the courses that are registered or attended by the student whose id is 121?,SELECT COURSE_ID FROM STUDENT_COURSE_REGISTRATIONS WHERE STUDENT_ID = 121 UNION SELECT COURSE_ID FROM STUDENT_COURSE_ATTENDANCE WHERE STUDENT_ID = 121,train_spider
103,What are all info of students who registered courses but not attended courses?,SELECT * FROM STUDENT_COURSE_REGISTRATIONS WHERE STUDENT_ID NOT IN (SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE),train_spider
104,What are all details of the students who registered but did not attend any course?,SELECT * FROM STUDENT_COURSE_REGISTRATIONS WHERE STUDENT_ID NOT IN (SELECT STUDENT_ID FROM STUDENT_COURSE_ATTENDANCE),train_spider
105,List the id of students who registered course statistics in the order of registration date.,"SELECT STUDENT_COURSE_REGISTRATIONS.STUDENT_ID FROM COURSES JOIN STUDENT_COURSE_REGISTRATIONS ON COURSES.COURSE_ID = STUDENT_COURSE_REGISTRATIONS.COURSE_ID WHERE COURSES.COURSE_NAME = ""STATISTICS"" ORDER BY STUDENT_COURSE_REGISTRATIONS.REGISTRATION_DATE",train_spider
106,What are the ids of the students who registered course statistics by order of registration date?,"SELECT STUDENT_COURSE_REGISTRATIONS.STUDENT_ID FROM COURSES JOIN STUDENT_COURSE_REGISTRATIONS ON COURSES.COURSE_ID = STUDENT_COURSE_REGISTRATIONS.COURSE_ID WHERE COURSES.COURSE_NAME = ""STATISTICS"" ORDER BY STUDENT_COURSE_REGISTRATIONS.REGISTRATION_DATE",train_spider
107,List the id of students who attended  statistics courses in the order of attendance date.,"SELECT STUDENT_COURSE_ATTENDANCE.STUDENT_ID FROM COURSES JOIN STUDENT_COURSE_ATTENDANCE ON COURSES.COURSE_ID = STUDENT_COURSE_ATTENDANCE.COURSE_ID WHERE COURSES.COURSE_NAME = ""STATISTICS"" ORDER BY STUDENT_COURSE_ATTENDANCE.DATE_OF_ATTENDANCE",train_spider
108,What are the ids of the students who attended courses in the statistics department in order of attendance date.,"SELECT STUDENT_COURSE_ATTENDANCE.STUDENT_ID FROM COURSES JOIN STUDENT_COURSE_ATTENDANCE ON COURSES.COURSE_ID = STUDENT_COURSE_ATTENDANCE.COURSE_ID WHERE COURSES.COURSE_NAME = ""STATISTICS"" ORDER BY STUDENT_COURSE_ATTENDANCE.DATE_OF_ATTENDANCE",train_spider
109,Give me the dates when the max temperature was higher than 85.,SELECT DATE FROM WEATHER WHERE MAX_TEMPERATURE_F > 85,train_spider
110,What are the dates with a maximum temperature higher than 85?,SELECT DATE FROM WEATHER WHERE MAX_TEMPERATURE_F > 85,train_spider
111,What are the names of stations that have latitude lower than 37.5?,SELECT NAME FROM STATION WHERE LAT < 37.5,train_spider
112,What are the names of all stations with a latitude smaller than 37.5?,SELECT NAME FROM STATION WHERE LAT < 37.5,train_spider
113,"For each city, return the highest latitude among its stations.","SELECT CITY , MAX(LAT) FROM STATION GROUP BY CITY",train_spider
114,"For each city, what is the highest latitude for its stations?","SELECT CITY , MAX(LAT) FROM STATION GROUP BY CITY",train_spider
115,Give me the start station and end station for the trips with the three oldest id.,"SELECT START_STATION_NAME , END_STATION_NAME FROM TRIP ORDER BY ID LIMIT 3",train_spider
116,What is the station station and end station for the trips with the three smallest ids?,"SELECT START_STATION_NAME , END_STATION_NAME FROM TRIP ORDER BY ID LIMIT 3",train_spider
117,What is the average latitude and longitude of stations located in San Jose city?,"SELECT AVG(LAT) , AVG(LONG) FROM STATION WHERE CITY = ""SAN JOSE""",train_spider
118,What is the average latitude and longitude in San Jose?,"SELECT AVG(LAT) , AVG(LONG) FROM STATION WHERE CITY = ""SAN JOSE""",train_spider
119,What is the id of the trip that has the shortest duration?,SELECT ID FROM TRIP ORDER BY DURATION LIMIT 1,train_spider
120,What is the id of the shortest trip?,SELECT ID FROM TRIP ORDER BY DURATION LIMIT 1,train_spider
121,What is the total and maximum duration of trips with bike id 636?,"SELECT SUM(DURATION) , MAX(DURATION) FROM TRIP WHERE BIKE_ID = 636",train_spider
122,What is the total and maximum duration for all trips with the bike id 636?,"SELECT SUM(DURATION) , MAX(DURATION) FROM TRIP WHERE BIKE_ID = 636",train_spider
123,"For each zip code, return the average mean temperature of August there.","SELECT ZIP_CODE , AVG(MEAN_TEMPERATURE_F) FROM WEATHER WHERE DATE LIKE ""8/%"" GROUP BY ZIP_CODE",train_spider
124,"For each zip code, what is the average mean temperature for all dates that start with '8'?","SELECT ZIP_CODE , AVG(MEAN_TEMPERATURE_F) FROM WEATHER WHERE DATE LIKE ""8/%"" GROUP BY ZIP_CODE",train_spider
125,"From the trip record, find the number of unique bikes.",SELECT COUNT(DISTINCT BIKE_ID) FROM TRIP,train_spider
126,How many different bike ids are there?,SELECT COUNT(DISTINCT BIKE_ID) FROM TRIP,train_spider
127,What is the number of distinct cities the stations are located at?,SELECT COUNT(DISTINCT CITY) FROM STATION,train_spider
128,How many different cities have these stations?,SELECT COUNT(DISTINCT CITY) FROM STATION,train_spider
129,How many stations does Mountain View city has?,"SELECT COUNT(*) FROM STATION WHERE CITY = ""MOUNTAIN VIEW""",train_spider
130,How many stations are in Mountain View?,"SELECT COUNT(*) FROM STATION WHERE CITY = ""MOUNTAIN VIEW""",train_spider
131,Return the unique name for stations that have ever had 7 bikes available.,SELECT DISTINCT STATION.NAME FROM STATION JOIN STATUS ON STATION.ID = STATUS.STATION_ID WHERE STATUS.BIKES_AVAILABLE = 7,train_spider
132,What are the different names for each station that has ever had 7 bikes available?,SELECT DISTINCT STATION.NAME FROM STATION JOIN STATUS ON STATION.ID = STATUS.STATION_ID WHERE STATUS.BIKES_AVAILABLE = 7,train_spider
133,Which start station had the most trips starting from August? Give me the name and id of the station.,"SELECT START_STATION_NAME , START_STATION_ID FROM TRIP WHERE START_DATE LIKE ""8/%"" GROUP BY START_STATION_NAME ORDER BY COUNT(*) DESC LIMIT 1",train_spider
134,What are the start station's name and id for the one that had the most start trips in August?,"SELECT START_STATION_NAME , START_STATION_ID FROM TRIP WHERE START_DATE LIKE ""8/%"" GROUP BY START_STATION_NAME ORDER BY COUNT(*) DESC LIMIT 1",train_spider
